city,lat,long,maxtemp,humidity,cloudiness,windspeed,date
Busselton,-33.65,115.3333,51.89,78,91,3.0,1659702664
Yerbogachën,61.2767,108.0108,54.34,77,100,5.35,1659702665
Hithadhoo,-0.6,73.0833,82.06,72,100,10.96,1659702643
Sistranda,63.7256,8.834,60.76,70,4,21.16,1659702665
Cairns,-16.9167,145.7667,73.35,88,100,0.0,1659702648
Shingū,33.7333,135.9833,77.68,91,0,4.65,1659702665
Kapaa,22.0752,-159.319,77.32,91,0,9.22,1659702416
Dikson,73.5069,80.5464,43.77,97,100,13.18,1659702666
Pacific Grove,36.6177,-121.9166,63.43,87,100,7.0,1659702666
Poum,-20.2333,164.0167,75.18,82,7,6.58,1659702667
Omīdīyeh,30.7597,49.705,114.67,21,0,18.41,1659702667
Horsham,51.064,-0.3272,74.32,35,0,8.05,1659702433
Mataura,-46.1927,168.8643,46.65,96,100,3.51,1659702668
Batemans Bay,-35.7167,150.1833,54.18,52,0,5.77,1659702668
Jamestown,42.097,-79.2353,73.51,73,20,4.61,1659702668
Albany,42.6001,-73.9662,74.17,94,100,1.68,1659702642
Farnes,61.3167,7.8,56.8,47,96,6.04,1659702669
Lira,2.235,32.9097,77.38,60,98,2.17,1659702669
Hilo,19.7297,-155.09,76.28,84,100,4.61,1659702669
Lebu,-37.6167,-73.65,50.83,96,100,6.8,1659702670
Hobyo,5.3505,48.5268,80.15,67,100,32.21,1659702670
Souillac,-20.5167,57.5167,75.58,60,40,16.11,1659702670
Atuona,-9.8,-139.0333,77.07,67,75,17.78,1659702671
Valparaíso,-33.0393,-71.6273,42.44,87,0,4.61,1659702671
Rikitea,-23.1203,-134.9692,71.4,63,99,19.24,1659702671
Hobart,-42.8794,147.3294,48.06,85,40,2.3,1659702400
Bengkulu,-3.8004,102.2655,78.66,78,70,4.21,1659702518
Bredasdorp,-34.5322,20.0403,63.68,58,93,19.53,1659702672
Sechura,-5.5569,-80.8222,62.71,83,94,12.26,1659702672
Cape Town,-33.9258,18.4232,63.12,72,20,12.66,1659702611
Chokurdakh,70.6333,147.9167,43.3,80,35,7.11,1659702673
Conceição do Araguaia,-8.2578,-49.2647,90.81,38,33,8.81,1659702634
Saint-Philippe,-21.3585,55.7679,76.59,73,46,12.28,1659702673
Vestmannaeyjar,63.4427,-20.2734,52.79,82,40,10.36,1659702673
Vilyuysk,63.7553,121.6247,62.92,99,100,5.93,1659702674
Khatanga,71.9667,102.5,64.67,52,0,5.88,1659702674
Kiryat Gat,31.61,34.7642,96.4,100,0,12.59,1659702471
Nouadhibou,20.931,-17.0347,76.98,73,40,10.36,1659702675
Madawaska,47.3561,-68.3288,68.09,84,100,10.36,1659702675
Belmonte,-15.8631,-38.8828,78.3,66,42,7.4,1659702675
Ushuaia,-54.8,-68.3,38.86,87,75,16.11,1659702676
Demba,-5.51,22.2667,98.26,13,95,4.16,1659702676
Arraial do Cabo,-22.9661,-42.0278,80.56,54,0,5.75,1659702563
Punta Arenas,-53.15,-70.9167,37.42,87,75,5.75,1659702677
Butaritari,3.0707,172.7902,81.77,76,9,11.79,1659702391
High Rock,26.6208,-78.2833,82.42,70,12,14.07,1659702677
Darnah,32.767,22.6367,83.84,60,0,20.96,1659702677
Saint Paul Harbor,57.79,-152.4072,54.91,94,100,0.0,1659702678
Hermanus,-34.4187,19.2345,63.81,74,41,16.73,1659702678
George Town,5.4112,100.3354,85.95,79,20,3.44,1659702613
Pevek,69.7008,170.3133,35.67,97,100,8.81,1659702683
Gra Lygia,35.0167,25.6833,85.44,53,0,3.04,1659702684
São João da Barra,-21.6403,-41.0511,77.09,52,3,10.74,1659702684
Kaitangata,-46.2817,169.8464,52.88,76,100,8.1,1659702684
Dunedin,-45.8742,170.5036,53.35,76,100,3.67,1659702685
Vaini,-21.2,-175.2,75.36,94,100,3.44,1659702685
Vila Velha,-20.3297,-40.2925,78.75,68,0,9.22,1659702512
Tiksi,71.6872,128.8694,43.36,93,99,2.51,1659702398
Trincomalee,8.5711,81.2335,84.33,66,97,21.85,1659702510
Isangel,-19.55,169.2667,77.11,83,20,4.61,1659702686
Ilo,-17.6394,-71.3375,60.22,79,96,4.7,1659702686
Ugoofaaru,5.6667,73.0,81.09,82,100,17.92,1659702686
Snezhnogorsk,69.1933,33.2531,71.38,68,100,12.46,1659702687
Provideniya,64.3833,-173.3,48.61,96,100,6.64,1659702687
Zeerust,-25.5369,26.0751,76.15,11,1,6.4,1659702687
Nago,26.5881,127.9761,85.05,83,70,2.77,1659702688
New Norfolk,-42.7826,147.0587,47.71,70,100,3.22,1659702688
Tsimmerbude,54.675,20.1347,86.05,32,87,12.46,1659702688
Mangan,27.5167,88.5333,78.44,98,100,0.81,1659702689
Bilibino,68.0546,166.4372,41.52,83,92,5.68,1659702689
Mahébourg,-20.4081,57.7,75.49,60,40,16.11,1659702689
Teya,60.3778,92.6267,51.4,78,82,2.73,1659702690
Port-Gentil,-0.7193,8.7815,80.56,65,20,13.8,1659702690
Puerto Ayora,-0.7393,-90.3518,68.56,93,20,5.01,1659702690
Hong Kong,22.2855,114.1577,80.94,93,98,11.01,1659702553
Siderno,38.2779,16.302,87.33,50,37,5.66,1659702691
Kampong Thom,12.7111,104.8887,79.34,82,100,2.28,1659702691
Iqaluit,63.7506,-68.5145,37.13,93,100,11.5,1659702534
Nehe,48.4833,124.8333,70.23,72,0,9.84,1659702691
Avarua,-21.2078,-159.775,73.45,78,75,10.36,1659702692
Geraldton,-28.7667,114.6,50.41,87,22,4.61,1659702679
Beira,-19.8436,34.8389,78.89,69,20,12.66,1659702692
Port Hardy,50.6996,-127.4199,53.6,93,20,4.61,1659702585
Mareeba,-17.0,145.4333,68.72,95,44,2.8,1659702429
Santa Cruz de la Sierra,-17.8,-63.1667,67.46,63,75,14.97,1659702489
Severo-Kuril'sk,50.6789,156.125,53.42,89,100,7.47,1659702682
Bantou,26.2151,117.4893,81.9,73,7,3.18,1659702693
Gao,16.6362,1.637,93.65,34,10,6.35,1659702693
Ferrol,43.4832,-8.2369,73.72,77,100,18.57,1659702693
Qaanaaq,77.484,-69.3632,41.63,59,5,3.47,1659702694
Thompson,55.7435,-97.8558,55.56,94,100,9.22,1659702540
Mezen',65.8522,44.24,79.11,50,94,11.27,1659702694
Mondolfo,43.7494,13.0979,91.81,63,0,5.01,1659702695
Sur,22.5667,59.5289,87.03,65,50,7.0,1659702695
Hemsedal,60.8629,8.5534,58.57,40,100,6.76,1659702695
Carnarvon,-24.8667,113.6333,64.89,55,0,15.66,1659702696
Yellowknife,62.456,-114.3525,52.32,93,20,8.05,1659702622
Vrangel',42.7297,133.0839,71.87,94,100,8.1,1659702696
Port Alfred,-33.5906,26.891,68.18,70,1,11.12,1659702696
Saint Anthony,45.0205,-93.218,70.95,79,0,11.5,1659702702
Upernavik,72.7868,-56.1549,42.82,92,100,3.91,1659702702
Airai,-8.9266,125.4092,58.82,95,100,2.89,1659702702
Adré,13.4667,22.2,90.27,38,68,7.58,1659702703
Kumul,42.8,93.45,90.48,27,7,15.23,1659702703
Nikolskoye,59.7035,30.7861,84.87,32,11,8.88,1659702703
Hokitika,-42.7167,170.9667,55.38,97,100,19.57,1659702704
Vostok,46.4856,135.8833,64.9,99,100,5.03,1659702660
East London,-33.0153,27.9116,68.94,68,0,6.91,1659702704
Borogontsy,62.6683,131.1683,70.68,64,100,10.25,1659702704
Saint George,37.1041,-113.5841,78.64,75,75,4.0,1659702684
Iralaya,15.0,-83.2333,76.98,82,100,10.83,1659702705
Camacha,33.0833,-16.3333,72.82,69,75,11.5,1659702705
Xixiang,35.1628,112.865,89.87,59,31,3.49,1659702706
Bathsheba,13.2167,-59.5167,81.05,93,75,19.57,1659702706
Kati,12.7441,-8.0726,81.81,61,100,4.41,1659702706
Napāsar,27.9667,73.55,80.56,87,100,8.63,1659702706
Gambēla,8.25,34.5833,82.96,68,36,4.94,1659702707
Tuktoyaktuk,69.4541,-133.0374,55.6,65,13,13.73,1659702707
Phalaborwa,-23.943,31.1411,86.16,25,0,5.23,1659702708
Te Anau,-45.4167,167.7167,48.87,94,100,4.74,1659702708
Portland,45.5234,-122.6762,59.04,86,20,5.75,1659702461
Mar del Plata,-38.0023,-57.5575,42.1,96,75,10.36,1659702708
Kieta,-6.2167,155.6333,78.98,83,78,4.63,1659702709
Amahai,-3.3333,128.9167,77.85,88,94,1.14,1659702709
Tasiilaq,65.6145,-37.6368,46.56,76,11,4.21,1659702709
Ulladulla,-35.35,150.4667,53.65,62,0,4.88,1659702710
Sampit,-2.5333,112.95,73.99,93,100,1.92,1659702710
Mahalapye,-23.1041,26.8142,82.58,17,0,4.29,1659702710
Mawlaik,23.6333,94.4167,79.11,93,100,0.45,1659702711
San Patricio,28.017,-97.5169,84.06,82,100,7.16,1659702711
Imbituba,-28.24,-48.6703,66.09,71,44,23.0,1659702654
Gainesville,29.6516,-82.3248,78.08,81,0,0.0,1659702653
Ancud,-41.8697,-73.8203,39.16,90,100,7.49,1659702711
Mazagão,-0.115,-51.2894,84.25,73,32,5.06,1659702712
Vardø,70.3705,31.1107,55.38,94,75,6.91,1659702712
Touros,-5.1989,-35.4608,82.17,63,32,15.41,1659702713
Nha Trang,12.25,109.1833,77.0,84,100,1.36,1659702488
Bluff,-46.6,168.3333,51.08,87,100,9.93,1659702713
Lokosovo,61.1333,74.8167,75.67,53,41,2.21,1659702713
Bambous Virieux,-20.3428,57.7575,75.45,60,40,16.11,1659702714
Yulara,-25.2406,130.9889,52.77,30,0,10.22,1659702714
Sarab,38.6066,44.9883,98.83,18,0,4.45,1659702715
Tigil',57.8,158.6667,49.12,91,47,3.69,1659702715
Bethel,41.3712,-73.414,78.37,85,0,0.0,1659702469
Paamiut,61.994,-49.6678,45.97,89,100,17.76,1659702715
Waingapu,-9.6567,120.2641,73.72,75,93,4.72,1659702716
Grand Gaube,-20.0064,57.6608,75.6,59,0,8.99,1659702716
Husavik,66.0449,-17.3389,54.64,59,3,5.17,1659702550
Lüderitz,-26.6481,15.1594,67.73,54,90,11.25,1659702717
Mazatlán,23.2167,-106.4167,78.76,94,20,5.75,1659701930
Karpathos,35.507,27.2132,82.36,65,20,26.46,1659702722
Mildura,-34.2,142.15,46.08,87,2,15.37,1659702695
Emba,48.8264,58.1442,84.45,24,95,15.28,1659702723
Iberia,29.9502,-91.7507,75.96,94,75,5.75,1659702723
Saldanha,-33.0117,17.9442,59.32,79,6,7.18,1659702723
Tanabe,33.7333,135.3667,78.24,88,2,3.38,1659702724
Puerto Madero,14.7208,-92.4215,73.6,100,40,0.0,1659702724
Nelson Bay,-32.7167,152.15,61.09,78,0,13.0,1659702724
Comodoro Rivadavia,-45.8667,-67.5,42.66,65,75,17.27,1659702541
Antofagasta,-23.65,-70.4,56.48,73,46,4.34,1659702725
Norman Wells,65.282,-126.8329,57.24,72,40,8.05,1659702725
Norman,35.2226,-97.4395,80.6,80,40,4.61,1659702725
Mgandu,-5.95,34.1333,79.05,30,53,8.81,1659702726
Acapulco de Juárez,16.8634,-99.8901,76.82,83,20,9.22,1659702726
Ürümqi,43.801,87.6005,85.15,33,0,8.95,1659702464
Itoman,26.1247,127.6694,84.97,84,20,4.61,1659702726
Morón,-34.6534,-58.6198,47.97,81,0,4.09,1659702727
Hirado,33.3597,129.5531,84.38,88,9,11.45,1659702727
Yantzaza,-3.8278,-78.7594,68.77,94,69,0.56,1659702727
Røros,62.5747,11.3842,58.84,44,40,5.75,1659702728
Pisco,-13.7,-76.2167,60.85,82,100,3.44,1659702728
Laas,46.6166,10.7002,85.69,59,16,2.15,1659702729
Keroka,-0.7758,34.9453,64.08,72,100,1.19,1659702729
Vuktyl,63.8567,57.3094,78.22,43,90,9.62,1659702729
Castro,-24.7911,-50.0119,60.19,93,89,8.16,1659702512
Turukhansk,65.8167,87.9833,70.02,52,100,3.8,1659702730
Ust'-Omchug,61.15,149.6333,57.99,86,100,5.99,1659702730
La Ronge,55.1001,-105.2842,53.85,87,100,10.36,1659702730
Ribeira Grande,38.5167,-28.7,77.4,88,20,4.61,1659702731
Buin,-33.7333,-70.75,46.74,67,0,2.06,1659702731
Bakel,14.905,-12.4568,90.25,52,100,10.33,1659702731
Haines Junction,60.7522,-137.5108,48.15,87,90,3.44,1659702527
Sanchursk,56.9413,47.2499,74.43,67,100,4.23,1659702732
Vila,42.0304,-8.1588,80.71,49,47,2.15,1659702732
Henties Bay,-22.116,14.2845,63.99,66,5,10.51,1659702733
Oktyabr'skiy,54.4815,53.471,79.59,42,0,7.07,1659702733
Dingle,10.9995,122.6711,75.69,91,100,6.4,1659702733
Boddam,57.4667,-1.7833,60.49,60,62,13.0,1659702734
Mogadishu,2.0371,45.3438,82.27,69,20,18.41,1659702696
Darhan,49.4867,105.9228,63.39,84,100,5.73,1659702734
Camabatela,-8.1881,15.375,90.12,16,20,7.25,1659702734
Yatou,37.15,122.3833,81.1,92,8,7.11,1659702735
Shirokiy,49.758,129.523,67.48,95,100,12.84,1659702735
Kinsale,51.7075,-8.5306,66.24,51,75,13.8,1659702735
Coahuayana Viejo,18.7333,-103.6833,75.42,93,50,3.44,1659702736
Zhezkazgan,47.8043,67.7144,84.18,24,40,22.37,1659702736
Waddān,29.1614,16.139,98.02,20,0,7.11,1659702736
Nome,64.5011,-165.4064,50.07,93,100,4.61,1659702530
Chui,-33.6971,-53.4616,48.69,80,2,8.95,1659702737
Batagay-Alyta,67.8006,130.4114,52.92,61,100,1.74,1659702742
Adrar,20.5022,-10.0711,100.09,22,18,3.91,1659702743
Krasnaya Polyana,56.242,51.1442,76.91,55,83,2.17,1659702743
Bentiu,9.2333,29.8333,88.09,54,71,6.04,1659702612
Quesnel,52.9999,-122.5029,52.3,93,100,2.3,1659702542
Ostrovnoy,68.0531,39.5131,65.75,76,100,3.0,1659702744
La Providencia,28.7167,-111.5833,85.87,64,38,1.86,1659702744
Ilulissat,69.2167,-51.1,46.42,76,75,6.91,1659702592
Jiuquan,39.7432,98.5174,87.66,22,100,9.22,1659702745
Laguna,38.421,-121.4238,70.09,75,0,11.5,1659702450
Klaksvík,62.2266,-6.589,52.72,77,32,21.85,1659702745
Khovd,48.0056,91.6419,66.99,48,10,11.81,1659702746
Gravelbourg,49.8834,-106.5512,50.27,60,0,11.7,1659702746
Labuhan,-6.8844,112.2051,79.14,74,91,4.63,1659702746
São Filipe,14.8961,-24.4956,77.34,82,99,8.61,1659702747
Aklavik,68.2191,-135.0107,57.81,61,6,11.63,1659702747
Hammerfest,70.6634,23.6821,50.45,87,75,17.27,1659702747
Azuaga,38.2667,-5.6833,92.97,24,0,9.75,1659702748
Green River,41.5286,-109.4662,68.4,41,100,1.92,1659702748
Kavaratti,10.5669,72.642,79.48,83,100,25.37,1659702748
Cervo,43.6702,-7.4101,64.96,83,100,19.53,1659702749
Pangnirtung,66.1451,-65.7125,41.0,87,100,6.91,1659702749
Bud,39.447,-86.1758,73.42,98,0,4.32,1659702749
Pandan,14.0453,124.1694,78.91,87,100,7.78,1659702750
Tabuk,17.4189,121.4443,75.09,91,100,4.47,1659702750
Mandalgovi,45.7625,106.2708,79.27,28,9,4.23,1659702750
Salalah,17.0151,54.0924,80.69,89,75,12.66,1659702751
Maltahöhe,-24.8333,16.9833,77.34,5,4,10.09,1659702751
Östersund,63.1792,14.6357,64.62,58,75,3.44,1659702661
Alofi,-19.0595,-169.9187,73.29,94,100,9.22,1659702752
Vila Franca do Campo,37.7167,-25.4333,77.41,72,27,8.14,1659702752
Shizukuishi,39.6833,140.9833,64.06,97,100,2.48,1659702752
La Reforma,18.1,-91.0167,73.29,94,30,7.87,1659702753
Edgewater,28.9889,-80.9023,82.99,100,20,3.44,1659702753
Garissa,-0.4536,39.6401,83.84,41,89,21.36,1659702753
Naze,28.3667,129.4833,79.72,81,96,3.56,1659702467
Umluj,25.0213,37.2685,91.63,55,0,8.08,1659702754
Sitka,57.0531,-135.33,57.09,88,100,4.61,1659702754
Nushki,29.5542,66.0215,99.18,17,1,11.63,1659702754
Sola,-13.8833,167.55,79.47,94,14,3.44,1659702755
Wenatchee,47.4235,-120.3103,59.29,60,0,10.36,1659702484
Narsaq,60.9167,-46.05,50.22,93,100,2.66,1659702700
Port Elizabeth,-33.918,25.5701,68.31,67,0,11.5,1659702476
Necochea,-38.5473,-58.7368,45.57,65,8,9.22,1659702604
Naica,27.85,-105.4833,72.5,62,100,1.21,1659702755
Cravo Norte,6.3017,-70.2041,76.77,87,100,6.73,1659702756
Jiaozhou,36.2839,120.0033,87.76,85,2,6.73,1659702756
Istok,42.7808,20.4875,91.78,22,0,5.66,1659702756
Seoul,37.5683,126.9778,83.8,81,40,4.61,1659702757
Tiarei,-17.5333,-149.3333,71.62,79,67,27.69,1659702757
Viedma,-40.8135,-62.9967,45.59,56,13,11.92,1659702762
Sept-Îles,50.2001,-66.3821,69.06,54,20,10.36,1659702702
Shepsi,44.0361,39.1489,79.68,69,7,7.63,1659702737
Benghazi,32.1167,20.0667,84.27,62,0,13.31,1659702763
Businga,3.3333,20.8833,86.67,57,99,4.61,1659702763
Sobolevo,54.4299,31.8996,81.05,56,12,7.67,1659702650
Jumla,29.2747,82.1838,68.97,87,94,3.11,1659702497
Havelock,34.8791,-76.9013,87.75,88,38,4.68,1659702681
Acaraú,-2.8856,-40.12,84.02,57,2,16.8,1659702764
Surgut,61.25,73.4167,73.58,56,40,4.47,1659702730
Saskylakh,71.9167,114.0833,60.1,68,64,5.53,1659702466
Marquette,46.5333,-87.6335,64.78,85,6,8.52,1659702764
Judaberg,59.1659,5.8732,61.14,67,100,16.51,1659702765
Kathmandu,27.7167,85.3167,79.02,78,75,5.75,1659702489
Kharp,66.8014,65.8081,63.79,69,100,6.53,1659702765
Coquimbo,-29.9533,-71.3436,46.13,76,40,4.61,1659702766
Lavrentiya,65.5833,-171.0,42.69,93,100,10.63,1659702766
Khudumelapye,-23.8833,24.75,79.47,11,0,7.43,1659702766
Dunda,-8.1167,34.25,84.22,23,30,9.08,1659702767
Saint-Pierre,-21.3393,55.4781,76.68,66,0,8.05,1659702767
Eenhana,-17.4667,16.3333,89.82,16,0,7.7,1659702767
Pacasmayo,-7.4006,-79.5714,62.17,84,95,8.28,1659702767
Excelsior Springs,39.3392,-94.2261,75.9,83,0,5.08,1659702768
Coyhaique,-45.5752,-72.0662,28.35,93,40,5.75,1659702625
Voi,-3.3945,38.563,77.09,44,91,15.1,1659702768
Chimbote,-9.0853,-78.5783,61.48,85,100,6.31,1659702768
Palmer,42.1584,-72.3287,79.14,78,75,0.0,1659702726
Langxiang,46.95,128.8833,67.24,94,0,4.88,1659702769
Ulaangom,49.9811,92.0667,65.89,50,100,6.38,1659702769
Cherskiy,68.75,161.3,48.11,72,100,9.71,1659702770
Nanortalik,60.1432,-45.2371,45.55,88,100,2.28,1659702677
